match_num,date,home_team,away_team,venue,city
1,2026-06-28,South Africa,Canada,SoFi Stadium,Inglewood
2,2026-06-29,Brazil,Japan,NRG Stadium,Houston
3,2026-06-29,Germany,Paraguay,Gillette Stadium,Foxborough
4,2026-06-29,Netherlands,Morocco,Estadio BBVA,Monterrey
5,2026-06-30,Ivory Coast,Norway,AT&T Stadium,Arlington
6,2026-06-30,France,Sweden,MetLife Stadium,East Rutherford
7,2026-06-30,Mexico,Ecuador,Estadio Azteca,Mexico City
8,2026-07-01,England,DR Congo,Mercedes-Benz Stadium,Atlanta
9,2026-07-01,Belgium,Senegal,Lumen Field,Seattle
10,2026-07-01,United States,Bosnia and Herzegovina,Levi's Stadium,Santa Clara
11,2026-07-02,Spain,Austria,SoFi Stadium,Inglewood
12,2026-07-02,Portugal,Croatia,BMO Field,Toronto
13,2026-07-02,Switzerland,Algeria,BC Place,Vancouver
14,2026-07-03,Australia,Egypt,AT&T Stadium,Arlington
15,2026-07-03,Argentina,Cape Verde,Hard Rock Stadium,Miami Gardens
16,2026-07-03,Colombia,Ghana,Arrowhead Stadium,Kansas City
